metodo,modelo_embedding,index_time,search_time,total_time,num_rows_df1,num_rows_df2,k,mem_used_indexation_MB,avg_mem_used_search_MB,matches
scann,sentence-transformers/all-MiniLM-L6-v2,0.009356498718261719,0.07720510005950927,0.08656159877777099,10000,1000,5,1.9375,0.00625,951
scann,sentence-transformers/all-MiniLM-L6-v2,0.002126932144165039,0.07717236757278442,0.07929929971694946,10000,1000,5,0.25,0.0,951
scann,sentence-transformers/all-MiniLM-L6-v2,0.0021653175354003906,0.07677340745925904,0.07893872499465943,10000,1000,5,0.0,0.0,951
scann,sentence-transformers/all-MiniLM-L6-v2,0.0023162364959716797,0.07674948215484619,0.07906571865081786,10000,1000,5,0.0,0.0,951
scann,sentence-transformers/all-mpnet-base-v2,0.003992319107055664,0.16070950508117676,0.16470182418823243,10000,1000,5,0.125,0.0,879
scann,sentence-transformers/all-mpnet-base-v2,0.003989458084106445,0.1581052279472351,0.16209468603134156,10000,1000,5,0.125,0.0,879
scann,sentence-transformers/all-mpnet-base-v2,0.004163265228271484,0.15823360919952392,0.1623968744277954,10000,1000,5,0.0,0.0,879
scann,sentence-transformers/all-mpnet-base-v2,0.004239320755004883,0.1576727271080017,0.1619120478630066,10000,1000,5,0.125,0.0,879
scann,intfloat/multilingual-e5-large,0.007924318313598633,0.21592976808547973,0.22385408639907836,10000,1000,5,39.05078125,0.0,1000
scann,intfloat/multilingual-e5-large,0.007969379425048828,0.21597038745880126,0.2239397668838501,10000,1000,5,39.109375,0.0,1000
scann,intfloat/multilingual-e5-large,0.008100509643554688,0.21583868741989135,0.22393919706344603,10000,1000,5,39.359375,0.0,1000
scann,intfloat/multilingual-e5-large,0.007598161697387695,0.21603798151016235,0.22363614320755004,10000,1000,5,39.359375,0.0,1000
scann,neuralmind/bert-large-portuguese-cased,0.00892949104309082,0.21639737367630005,0.22532686471939087,10000,1000,5,39.15625,0.0,836
scann,neuralmind/bert-large-portuguese-cased,0.007516622543334961,0.21703952074050903,0.224556143283844,10000,1000,5,39.25,0.0,836
scann,neuralmind/bert-large-portuguese-cased,0.007605075836181641,0.2204814600944519,0.22808653593063355,10000,1000,5,39.25,0.0,836
scann,neuralmind/bert-large-portuguese-cased,0.008144855499267578,0.2161658501625061,0.2243107056617737,10000,1000,5,39.125,0.0,836
